,Title,URL
946,88 Heroes: 98 Heroes Edition,/game/switch/88-heroes-98-heroes-edition
947,Vostok Inc.,/game/switch/vostok-inc
948,Wolfenstein: Youngblood,/game/switch/wolfenstein-youngblood
949,Spelunker Party!,/game/switch/spelunker-party!
950,Octodad: Dadliest Catch,/game/switch/octodad-dadliest-catch
951,Unepic,/game/switch/unepic
952,The VideoKid,/game/switch/the-videokid
953,Nefarious,/game/switch/nefarious
954,Oh My Godheads: Party Edition,/game/switch/oh-my-godheads-party-edition
955,Graveyard Keeper,/game/switch/graveyard-keeper
956,Dark Devotion,/game/switch/dark-devotion
957,A Duel Hand Disaster: Trackher,/game/switch/a-duel-hand-disaster-trackher
958,Omega Labyrinth Life,/game/switch/omega-labyrinth-life
959,Kill la Kill: IF,/game/switch/kill-la-kill-if
960,Star Wars Jedi Knight II: Jedi Outcast,/game/switch/star-wars-jedi-knight-ii-jedi-outcast
961,Titan Quest,/game/switch/titan-quest
962,Battle Princess Madelyn,/game/switch/battle-princess-madelyn
963,Poi: Explorer Edition,/game/switch/poi-explorer-edition
964,Morphite,/game/switch/morphite
965,Bee Simulator,/game/switch/bee-simulator
966,Human: Fall Flat,/game/switch/human-fall-flat
967,Gekido: Kintaro's Revenge,/game/switch/gekido-kintaros-revenge
968,Gear.Club Unlimited,/game/switch/gearclub-unlimited
969,Refunct,/game/switch/refunct
970,Vesta,/game/switch/vesta
971,Pokemon Quest,/game/switch/pokemon-quest
972,League of Evil,/game/switch/league-of-evil
973,Puzzle Adventure Blockle,/game/switch/puzzle-adventure-blockle
974,Puzzle Puppers,/game/switch/puzzle-puppers
975,Touhou Genso Wanderer Reloaded,/game/switch/touhou-genso-wanderer-reloaded
976,Oniken: Unstoppable Edition,/game/switch/oniken-unstoppable-edition
977,Another Lost Phone: Laura's Story,/game/switch/another-lost-phone-lauras-story
978,Ultrawings,/game/switch/ultrawings
979,Little Town Hero,/game/switch/little-town-hero
980,One More Dungeon,/game/switch/one-more-dungeon
981,Dustoff Heli Rescue 2,/game/switch/dustoff-heli-rescue-2
982,Mugsters,/game/switch/mugsters
983,Unexplored: Unlocked Edition,/game/switch/unexplored-unlocked-edition
984,Super Treasure Arena,/game/switch/super-treasure-arena
985,Deponia,/game/switch/deponia
986,Almost There: The Platformer,/game/switch/almost-there-the-platformer
987,Wonder Boy Returns Remix,/game/switch/wonder-boy-returns-remix
988,Damsel,/game/switch/damsel
989,Dr. Kawashima's Brain Training for Nintendo Switch,/game/switch/dr-kawashimas-brain-training-for-nintendo-switch
990,Koral,/game/switch/koral
991,Trine 3: The Artifacts of Power,/game/switch/trine-3-the-artifacts-of-power
992,SIMULACRA,/game/switch/simulacra
993,Townsmen,/game/switch/townsmen
994,RiME,/game/switch/rime
995,I Am The Hero,/game/switch/i-am-the-hero
996,Sleep Tight,/game/switch/sleep-tight
997,"I, Zombie",/game/switch/i-zombie
998,Snooker 19,/game/switch/snooker-19
999,InnerSpace,/game/switch/innerspace
1000,The World Next Door,/game/switch/the-world-next-door
1001,Penny-Punching Princess,/game/switch/penny-punching-princess
